Chemical,Obs_perc_media,Pred_perc_media_Fischer,Pred_perc_media_VIVD,Pred_perc_media_IVMBM,Pred_perc_media_VCBA,Note,Type,H37,log10_H37,vb,MW,MP,logkow,logkaw,Solubility,log10_Solubility,Conc
Endrin,0.022766667,0.102244652,0.016156584,0.011692621,0.004108561,Alen (1uM; single),Free,0.8288385,-0.081530084,206,380.91,144,5.43,-4.26,0.05180376,-1.285638717,1
Ethion,0.0012,0.084309716,0.022118056,0.018618473,0.011004594,Alen (1uM; single),Free,0.045697575,-1.340106846,295,384.48,-13,5.07,-7.25,1.7340048,0.239050295,1
Heptachlor,0.0099,0.005278113,0.008682171,0.004125133,0.000639155,Alen (1uM; single),Free,29.78955,1.474063943,208,373.32,95.5,6.1,-2.92,0.14223492,-0.846993767,1
Heptachlor epoxide B,0.029066667,0.008391136,0.023910035,0.02072825,0.01404277,Alen (1uM; single),Free,2.127825,0.327935907,203,389.32,160,4.98,-4.75,0.22308036,-0.651538663,1
Lindane,0.225766667,0.237804661,0.271917808,0.220931978,0.220347088,Alen (1uM; single),Free,0.3222135,-0.491856268,183,290.83,75.2,3.72,-3.77,4.449699,0.648330634,1
"Methoxychlor-o,p'",0.0068,0.006064804,0.021909722,0.018393942,0.010709708,Alen (1uM; single),Free,0.020568975,-1.68678735,268,345.65,87,5.08,-6.7,0.08468425,-1.072197354,1
Parathion,0.0792,0.269719202,0.221575342,0.177706175,0.184828958,Alen (1uM; single),Free,0.03019485,-1.520067124,220,291.26,6.1,3.83,-5.78,12.728062,1.104762282,1
Trifluralin,0.024333333,0.026972292,0.017491166,0.013210253,0.005262667,Alen (1uM; single),Free,10.436475,1.018553837,251,335.28,49,5.34,-3.39,0.28632912,-0.543134481,1
"2,4-Dinitrophenol",0.385966667,0.823232581,0.983911544,0.977955811,0.876292324,Alen (10uM; Mixtute),Free,0.00871395,-2.059784936,112,184.11,116,1.67,-6.32,1441.5813,3.15883914,10
Aldrin,0.001033333,0.002785765,0.005732454,0.001983717,0.00020822,Alen (10uM; Mixtute),Free,4.4583,0.649169289,211,364.91,129,6.5,-1.68,0.026310011,-1.57987897,10
Azinphos-methyl,0.4386,2.68E-06,0.806478506,0.756448126,0.601885285,Alen (10uM; Mixtute),Free,0.01009197,-1.996024049,209,317.32,73,2.75,-13.3,23.132628,1.364224974,10
Chlorpyrifos,0.000766667,0.069526281,0.024288649,0.021219293,0.014821966,Alen (10uM; Mixtute),Free,0.29688225,-0.527415767,237,350.59,42,4.96,-4.17,1.1499352,0.060673368,10
"DDD-p,p'",0.0012,0.000181501,0.003511742,0.000873857,6.56E-05,Alen (10uM; Mixtute),Free,0.843024,-0.074160061,244,354.49,108,6.91,-3.82,0.006699861,-2.173934207,10
"DDT-o,p'",0.003766667,0.000480154,0.005361331,0.001766382,0.000175885,Alen (10uM; Mixtute),Free,1.4489475,0.16105265,244,354.49,116,6.56,-3.95,0.07656984,-1.11594226,10
"DDT-p,p'",4.00E-04,0.000505897,0.00851608,0.003984211,0.000604395,Alen (10uM; Mixtute),Free,0.668745,-0.174739452,233,320.04,110,6.12,-3.32,0.09025128,-1.04454663,10
Diazinon,0.054766667,0.27134351,0.229814459,0.185041366,0.191022517,Alen (10uM; Mixtute),Free,0.011449725,-1.941204944,260,304.35,52.6,3.81,-5.17,47.4786,1.676497904,10
Dicofol,0.016533333,9.72E-07,0.023075762,0.019770593,0.012602651,Alen (10uM; Mixtute),Free,0.000148948,-3.826965324,242,370.49,77.5,5.02,-6.03,0.8632417,-0.063867589,10
Dieldrin,0.0104,0.012547265,0.021177634,0.017515132,0.009605782,Alen (10uM; Mixtute),Free,0.8288385,-0.081530084,206,380.91,202,5.12,-4.26,0.20835777,-0.681190299,10
Disulfoton,0.8419,0.213112759,0.150367667,0.119052066,0.132230335,Alen (10uM; Mixtute),Free,0.48332025,-0.315765009,233,274.4,-25,4.02,-5.26,18.05552,1.256610001,10
Endosulfan I,0.0107,0.995441946,0.221127676,0.177706175,0.184828958,Alen (10uM; Mixtute),Free,2.452065,0.389531978,209,406.93,106,3.83,-4.96,0.40570921,-0.391785133,10
Endrin,0.010466667,0.102244652,0.01616006,0.011692621,0.004108561,Alen (10uM; Mixtute),Free,0.8288385,-0.081530084,206,380.91,144,5.43,-4.26,0.05180376,-1.285638717,10
Ethion,0.001066667,0.084309716,0.022107951,0.018618473,0.011004594,Alen (10uM; Mixtute),Free,0.045697575,-1.340106846,295,384.48,-13,5.07,-7.25,1.7340048,0.239050295,10
Heptachlor,0.002566667,0.005278113,0.008685708,0.004125133,0.000639155,Alen (10uM; Mixtute),Free,29.78955,1.474063943,208,373.32,95.5,6.1,-2.92,0.14223492,-0.846993767,10
Heptachlor epoxide B,0.0179,0.008391136,0.02387787,0.02072825,0.01404277,Alen (10uM; Mixtute),Free,2.127825,0.327935907,203,389.32,160,4.98,-4.75,0.22308036,-0.651538663,10
Lindane,0.2754,0.237804661,0.271803943,0.220931978,0.220347088,Alen (10uM; Mixtute),Free,0.3222135,-0.491856268,183,290.83,75.2,3.72,-3.77,4.449699,0.648330634,10
"Methoxychlor-o,p'",0.003033333,0.006064804,0.021918914,0.018393942,0.010709708,Alen (10uM; Mixtute),Free,0.020568975,-1.68678735,268,345.65,87,5.08,-6.7,0.08468425,-1.072197354,10
Parathion,0.0724,0.269719202,0.221127743,0.177706175,0.184828958,Alen (10uM; Mixtute),Free,0.03019485,-1.520067124,220,291.26,6.1,3.83,-5.78,12.728062,1.104762282,10
Trifluralin,0.009466667,0.026972292,0.017493109,0.013210253,0.005262667,Alen (10uM; Mixtute),Free,10.436475,1.018553837,251,335.28,49,5.34,-3.39,0.28632912,-0.543134481,10
"2,4-Dinitrophenol",0.0502,0.823232581,0.983333333,0.977955811,0.876292324,Alen (1uM; Mixtute),Free,0.00871395,-2.059784936,112,184.11,116,1.67,-6.32,1441.5813,3.15883914,1
Aldrin,0.004133333,0.002785765,0.005738397,0.001983717,0.00020822,Alen (1uM; Mixtute),Free,4.4583,0.649169289,211,364.91,129,6.5,-1.68,0.026310011,-1.57987897,1
Azinphos-methyl,0.441133333,2.68E-06,0.808080808,0.756448126,0.601885285,Alen (1uM; Mixtute),Free,0.01009197,-1.996024049,209,317.32,73,2.75,-13.3,23.132628,1.364224974,1
Chlorpyrifos,0.000966667,0.069526281,0.024275862,0.021219293,0.014821966,Alen (1uM; Mixtute),Free,0.29688225,-0.527415767,237,350.59,42,4.96,-4.17,1.1499352,0.060673368,1
"DDD-p,p'",0.001733333,0.000181501,0.003514019,0.000873857,6.56E-05,Alen (1uM; Mixtute),Free,0.843024,-0.074160061,244,354.49,108,6.91,-3.82,0.006699861,-2.173934207,1
"DDT-o,p'",0.0031,0.000480154,0.005384615,0.001766382,0.000175885,Alen (1uM; Mixtute),Free,1.4489475,0.16105265,244,354.49,116,6.56,-3.95,0.07656984,-1.11594226,1
"DDT-p,p'",0.001666667,0.000505897,0.008521401,0.003984211,0.000604395,Alen (1uM; Mixtute),Free,0.668745,-0.174739452,233,320.04,110,6.12,-3.32,0.09025128,-1.04454663,1
Diazinon,0.060333333,0.27134351,0.230136986,0.185041366,0.191022517,Alen (1uM; Mixtute),Free,0.011449725,-1.941204944,260,304.35,52.6,3.81,-5.17,47.4786,1.676497904,1
Dicofol,0.007866667,9.72E-07,0.023079585,0.019770593,0.012602651,Alen (1uM; Mixtute),Free,0.000148948,-3.826965324,242,370.49,77.5,5.02,-6.03,0.8632417,-0.063867589,1
Dieldrin,0.021533333,0.012547265,0.021184669,0.017515132,0.009605782,Alen (1uM; Mixtute),Free,0.8288385,-0.081530084,206,380.91,202,5.12,-4.26,0.20835777,-0.681190299,1
Disulfoton,0.914333333,0.213112759,0.150342466,0.119052066,0.132230335,Alen (1uM; Mixtute),Free,0.48332025,-0.315765009,233,274.4,-25,4.02,-5.26,18.05552,1.256610001,1
Endosulfan I,0.0221,0.995441946,0.221575342,0.177706175,0.184828958,Alen (1uM; Mixtute),Free,2.452065,0.389531978,209,406.93,106,3.83,-4.96,0.40570921,-0.391785133,1
Endrin,0.022666667,0.102244652,0.016156584,0.011692621,0.004108561,Alen (1uM; Mixtute),Free,0.8288385,-0.081530084,206,380.91,144,5.43,-4.26,0.05180376,-1.285638717,1
Ethion,0.002533333,0.084309716,0.022118056,0.018618473,0.011004594,Alen (1uM; Mixtute),Free,0.045697575,-1.340106846,295,384.48,-13,5.07,-7.25,1.7340048,0.239050295,1
Heptachlor,0.007566667,0.005278113,0.008682171,0.004125133,0.000639155,Alen (1uM; Mixtute),Free,29.78955,1.474063943,208,373.32,95.5,6.1,-2.92,0.14223492,-0.846993767,1
Heptachlor epoxide B,0.039066667,0.008391136,0.023910035,0.02072825,0.01404277,Alen (1uM; Mixtute),Free,2.127825,0.327935907,203,389.32,160,4.98,-4.75,0.22308036,-0.651538663,1
